,area,concentration,date,dupl,medium,species
94,10207.034531513238,,2018-06-22,1,YPD,P.ostreatus
95,8494.8665353068,,2018-06-22,1,YPD,P.ostreatus
96,8171.282491987052,,2018-06-22,1,YPD,S.commune
97,6647.610054996002,,2018-06-22,1,YPD,S.commune
98,9160.884177867836,,2018-06-22,1,YPD,S.commune
99,12076.282160399165,,2018-06-22,1,YPD,S.commune.DSC3
100,6082.12337734984,,2018-06-22,1,YPD,S.commune.DSC3
101,11309.733552923255,,2018-06-22,1,YPD,S.commune.DSC3
102,256969.7126930307,47.5,2018-06-23,1,MEA,S.commune
103,39408.13824663036,47.5,2018-06-23,1,MEA,S.commune
104,7238.229473870883,47.5,2018-06-23,1,MEA,S.commune
105,101787.60197630929,47.5,2018-06-23,2,MEA,S.commune
106,83468.97521322721,47.5,2018-06-23,2,MEA,S.commune
107,124410.2106748094,47.5,2018-06-23,2,MEA,S.commune
108,8494.8665353068,47.5,2018-06-23,1,MEA,S.commune.DSC3
109,5281.017250684442,47.5,2018-06-23,1,MEA,S.commune.DSC3
110,8171.282491987052,47.5,2018-06-23,1,MEA,S.commune.DSC3
111,4778.362426110075,47.5,2018-06-23,2,MEA,S.commune.DSC3
112,4536.459791783661,47.5,2018-06-23,2,MEA,S.commune.DSC3
113,17203.36137105771,47.5,2018-06-23,2,MEA,S.commune.DSC3
114,256969.7126930307,50,2018-06-23,1,MEA,S.commune
115,109858.35350338147,50,2018-06-23,1,MEA,S.commune
116,121922.06929316628,50,2018-06-23,1,MEA,S.commune
117,89727.02777917808,50,2018-06-23,2,MEA,S.commune
118,51471.85403641517,50,2018-06-23,2,MEA,S.commune
119,154830.25233951936,50,2018-06-23,2,MEA,S.commune
120,53912.871528254436,50,2018-06-23,1,MEA,S.commune.DSC3
121,5026.548245743669,50,2018-06-23,1,MEA,S.commune.DSC3
122,5808.804816487527,50,2018-06-23,1,MEA,S.commune.DSC3
123,18145.839167134644,50,2018-06-23,2,MEA,S.commune.DSC3
124,5808.804816487527,50,2018-06-23,2,MEA,S.commune.DSC3
125,9160.884177867836,50,2018-06-23,2,MEA,S.commune.DSC3
126,199503.69987356622,52.5,2018-06-23,1,MEA,S.commune
127,27759.112687119414,52.5,2018-06-23,1,MEA,S.commune
128,27171.63486089812,52.5,2018-06-23,1,MEA,S.commune
129,25446.900494077323,52.5,2018-06-23,2,MEA,S.commune
130,24884.55540908475,52.5,2018-06-23,2,MEA,S.commune
131,31415.926535897932,52.5,2018-06-23,2,MEA,S.commune
132,25446.900494077323,52.5,2018-06-23,1,MEA,S.commune.DSC3
133,81433.22317370103,52.5,2018-06-23,1,MEA,S.commune.DSC3
134,4536.459791783661,52.5,2018-06-23,1,MEA,S.commune.DSC3
135,149301.04926920132,52.5,2018-06-23,2,MEA,S.commune.DSC3
136,7238.229473870883,52.5,2018-06-23,2,MEA,S.commune.DSC3
137,8494.8665353068,52.5,2018-06-23,2,MEA,S.commune.DSC3
