dupl,light_source,medium,species,temperature,day
2.0,0,1,0,30.0,1.0
1.0,0,1,0,30.0,1.0
1.0,0,1,0,30.0,1.0
1.0,0,1,0,30.0,1.0
2.0,0,1,0,30.0,1.0
2.0,0,1,0,30.0,1.0
2.0,0,1,0,30.0,1.0
1.0,0,1,0,30.0,1.0
1.0,0,1,0,30.0,1.0
1.0,0,1,0,30.0,1.0
2.0,0,1,0,30.0,1.0
2.0,0,1,0,30.0,1.0
2.0,0,1,0,30.0,1.0
1.0,0,2,0,30.0,1.0
1.0,0,2,0,30.0,1.0
1.0,0,2,0,30.0,1.0
1.0,0,2,0,30.0,1.0
1.0,0,2,0,30.0,1.0
1.0,0,2,0,30.0,1.0
1.0,0,0,0,30.0,2.0
1.0,0,0,0,30.0,2.0
1.0,0,0,0,30.0,2.0
1.0,0,0,0,30.0,2.0
2.0,0,0,0,30.0,2.0
2.0,0,0,0,30.0,2.0
2.0,0,0,0,30.0,2.0
1.0,0,0,0,30.0,2.0
1.0,0,0,0,30.0,2.0
1.0,0,0,0,30.0,2.0
2.0,0,0,0,30.0,2.0
2.0,0,0,0,30.0,2.0
2.0,0,0,0,30.0,2.0
1.0,0,0,0,30.0,2.0
1.0,0,0,0,30.0,2.0
1.0,0,0,0,30.0,2.0
1.0,0,0,0,30.0,2.0
1.0,0,0,0,30.0,2.0
2.0,0,0,0,30.0,2.0
2.0,0,0,0,30.0,2.0
2.0,0,0,0,30.0,2.0
2.0,0,0,0,30.0,2.0
2.0,0,0,0,30.0,2.0
2.0,0,0,0,30.0,2.0
2.0,0,0,0,30.0,2.0
1.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
2.0,0,1,0,30.0,2.0
2.0,0,1,0,30.0,2.0
2.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
2.0,0,1,0,30.0,2.0
2.0,0,1,0,30.0,2.0
2.0,0,1,0,30.0,2.0
2.0,0,1,0,30.0,2.0
2.0,0,1,0,30.0,2.0
2.0,0,1,0,30.0,2.0
2.0,0,1,0,30.0,2.0
2.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
1.0,0,1,0,30.0,2.0
2.0,0,1,0,30.0,2.0
2.0,0,1,0,30.0,2.0
2.0,0,1,0,30.0,2.0
1.0,0,2,0,30.0,2.0
1.0,0,2,0,30.0,2.0
1.0,0,2,0,30.0,2.0
1.0,0,2,0,30.0,2.0
1.0,0,2,0,30.0,2.0
1.0,0,2,0,30.0,2.0
1.0,0,2,0,30.0,2.0
1.0,0,2,0,30.0,2.0
1.0,0,2,0,30.0,2.0
1.0,0,0,0,30.0,3.0
1.0,0,0,0,30.0,3.0
1.0,0,0,0,30.0,3.0
2.0,0,0,0,30.0,3.0
2.0,0,0,0,30.0,3.0
2.0,0,0,0,30.0,3.0
1.0,0,0,0,30.0,3.0
1.0,0,0,0,30.0,3.0
1.0,0,0,0,30.0,3.0
2.0,0,0,0,30.0,3.0
2.0,0,0,0,30.0,3.0
2.0,0,0,0,30.0,3.0
1.0,0,0,0,30.0,3.0
1.0,0,0,0,30.0,3.0
1.0,0,0,0,30.0,3.0
1.0,0,0,0,30.0,3.0
1.0,0,0,0,30.0,3.0
2.0,0,0,0,30.0,3.0
2.0,0,0,0,30.0,3.0
2.0,0,0,0,30.0,3.0
2.0,0,0,0,30.0,3.0
2.0,0,0,0,30.0,3.0
1.0,0,1,0,30.0,3.0
1.0,0,1,0,30.0,3.0
1.0,0,1,0,30.0,3.0
2.0,0,1,0,30.0,3.0
2.0,0,1,0,30.0,3.0
2.0,0,1,0,30.0,3.0
1.0,0,1,0,30.0,3.0
1.0,0,1,0,30.0,3.0
1.0,0,1,0,30.0,3.0
1.0,0,1,0,30.0,3.0
1.0,0,1,0,30.0,3.0
1.0,0,1,0,30.0,3.0
1.0,0,1,0,30.0,3.0
2.0,0,1,0,30.0,3.0
2.0,0,1,0,30.0,3.0
2.0,0,1,0,30.0,3.0
2.0,0,1,0,30.0,3.0
2.0,0,1,0,30.0,3.0
2.0,0,1,0,30.0,3.0
1.0,0,1,0,30.0,3.0
1.0,0,1,0,30.0,3.0
1.0,0,1,0,30.0,3.0
2.0,0,1,0,30.0,3.0
2.0,0,1,0,30.0,3.0
2.0,0,1,0,30.0,3.0
1.0,0,2,0,30.0,3.0
1.0,0,2,0,30.0,3.0
1.0,0,2,0,30.0,3.0
1.0,0,2,0,30.0,3.0
1.0,0,2,0,30.0,3.0
1.0,0,2,0,30.0,3.0
1.0,0,2,0,30.0,3.0
1.0,0,2,0,30.0,3.0
1.0,0,2,0,30.0,3.0
1.0,0,1,0,28.0,1.0
1.0,0,1,0,28.0,1.0
1.0,0,1,0,28.0,1.0
1.0,0,1,0,28.0,1.0
1.0,0,1,0,28.0,1.0
1.0,0,1,0,28.0,1.0
1.0,0,1,0,30.0,4.0
1.0,0,1,0,30.0,4.0
1.0,0,1,0,30.0,4.0
1.0,1,1,2,25.0,1.0
1.0,1,1,2,25.0,1.0
1.0,1,1,2,25.0,1.0
1.0,0,1,2,28.0,1.0
1.0,0,1,2,28.0,1.0
1.0,0,1,2,28.0,1.0
1.0,0,1,2,28.0,1.0
1.0,0,1,2,28.0,1.0
1.0,0,1,2,28.0,1.0
1.0,1,1,3,30.0,1.0
1.0,1,1,3,30.0,1.0
1.0,1,1,3,30.0,1.0
1.0,1,1,3,30.0,1.0
1.0,1,1,3,30.0,1.0
1.0,1,1,3,30.0,1.0
1.0,1,1,3,37.0,1.0
1.0,1,1,3,37.0,1.0
1.0,1,1,3,37.0,1.0
1.0,1,1,4,30.0,1.0
1.0,1,1,4,30.0,1.0
1.0,1,1,4,30.0,1.0
1.0,1,1,4,30.0,1.0
1.0,1,1,4,30.0,1.0
1.0,1,1,4,30.0,1.0
1.0,1,1,4,37.0,1.0
1.0,1,1,4,37.0,1.0
1.0,1,1,4,37.0,1.0
1.0,0,1,0,28.0,2.0
1.0,0,1,0,28.0,2.0
1.0,0,1,0,28.0,2.0
1.0,0,1,0,28.0,2.0
1.0,0,1,0,28.0,2.0
1.0,0,1,0,28.0,2.0
1.0,0,1,0,30.0,5.0
1.0,0,1,0,30.0,5.0
1.0,0,1,0,30.0,5.0
1.0,1,1,2,25.0,2.0
1.0,1,1,2,25.0,2.0
1.0,1,1,2,25.0,2.0
1.0,0,1,2,28.0,2.0
1.0,0,1,2,28.0,2.0
1.0,0,1,2,28.0,2.0
1.0,0,1,2,28.0,2.0
1.0,0,1,2,28.0,2.0
1.0,0,1,2,28.0,2.0
1.0,1,1,4,30.0,2.0
1.0,1,1,4,30.0,2.0
1.0,1,1,4,30.0,2.0
1.0,1,1,4,30.0,2.0
1.0,1,1,4,30.0,2.0
1.0,1,1,4,30.0,2.0
1.0,1,1,3,30.0,2.0
1.0,1,1,3,30.0,2.0
1.0,1,1,3,30.0,2.0
1.0,1,1,3,30.0,2.0
1.0,1,1,3,30.0,2.0
1.0,1,1,3,30.0,2.0
1.0,1,1,3,37.0,2.0
1.0,1,1,3,37.0,2.0
1.0,1,1,3,37.0,2.0
1.0,0,1,0,28.0,3.0
1.0,0,1,0,28.0,3.0
1.0,0,1,0,28.0,3.0
1.0,0,1,0,28.0,3.0
1.0,0,1,0,28.0,3.0
1.0,0,1,0,28.0,3.0
1.0,0,1,0,30.0,6.0
1.0,0,1,0,30.0,6.0
1.0,0,1,0,30.0,6.0
1.0,1,1,2,25.0,3.0
1.0,1,1,2,25.0,3.0
1.0,1,1,2,25.0,3.0
1.0,0,1,2,28.0,3.0
1.0,0,1,2,28.0,3.0
1.0,0,1,2,28.0,3.0
1.0,0,1,2,28.0,3.0
1.0,0,1,2,28.0,3.0
1.0,0,1,2,28.0,3.0
1.0,1,1,3,30.0,3.0
1.0,1,1,3,30.0,3.0
1.0,1,1,3,30.0,3.0
1.0,1,1,3,30.0,3.0
1.0,1,1,3,30.0,3.0
1.0,1,1,3,30.0,3.0
1.0,1,1,3,37.0,3.0
1.0,1,1,3,37.0,3.0
1.0,1,1,3,37.0,3.0
1.0,1,1,4,30.0,3.0
1.0,1,1,4,30.0,3.0
1.0,1,1,4,30.0,3.0
1.0,1,1,4,30.0,3.0
1.0,1,1,4,30.0,3.0
1.0,1,1,4,30.0,3.0
1.0,1,1,4,37.0,2.0
1.0,1,1,4,37.0,2.0
1.0,1,1,4,37.0,2.0
